# cpu=11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
# kernel=Linux 6.6.87.2-microsoft-standard-WSL2
# compiler=gcc 11.4.0
# date=2026-08-22T14:51:33Z
# git_sha=415e85c
# profile=hardened metadata_bytes=24
# trials_per_cell=2000 base_seed=20260809 arena_bytes=262144
# latency_window_ops=4096
profile,scrub_interval,scrub_budget,target,bits,trials,discarded,detected_no_loss,detected_quarantined,detected_fatal,undetected_benign,undetected_silent,crash,timeout,detection_pct,detection_lo,detection_hi,silent_pct,silent_lo,silent_hi,latency_n,latency_mean_ops,latency_max_ops
hardened,4096,16,canary,2,2000,0,0,1957,0,43,0,0,0,100.0000,99.8041,100.0000,0.0000,0.0000,0.1917,1288,4095.0000,4095
hardened,4096,16,any,1,2000,0,2,24,0,1974,0,0,0,100.0000,87.1271,100.0000,0.0000,0.0000,0.1917,21,3121.1429,4095
hardened,4096,16,any,2,2000,0,1,34,0,1965,0,0,0,100.0000,90.1099,100.0000,0.0000,0.0000,0.1917,22,3538.4545,4095
hardened,0,16,alloc_hdr,1,2000,0,37,1963,0,0,0,0,0,100.0000,99.8083,100.0000,0.0000,0.0000,0.1917,910,25.7044,2950
hardened,0,16,alloc_hdr,2,2000,0,67,1915,0,18,0,0,0,100.0000,99.8066,100.0000,0.0000,0.0000,0.1917,844,23.1268,764
hardened,0,16,free_hdr,1,2000,0,0,2000,0,0,0,0,0,100.0000,99.8083,100.0000,0.0000,0.0000,0.1917,2000,10.6775,470
hardened,0,16,free_hdr,2,2000,0,0,1979,0,21,0,0,0,100.0000,99.8063,100.0000,0.0000,0.0000,0.1917,1979,10.3052,330
hardened,0,16,links,1,2000,0,1948,0,0,52,0,0,0,100.0000,99.8032,100.0000,0.0000,0.0000,0.1917,1948,15.2146,1162
hardened,0,16,links,2,2000,0,1956,0,0,44,0,0,0,100.0000,99.8040,100.0000,0.0000,0.0000,0.1917,1956,14.9734,1631
hardened,0,16,free_footer,1,2000,0,0,0,0,2000,0,0,0,100.0000,0.0000,79.3451,0.0000,0.0000,0.1917,0,0.0000,0
hardened,0,16,free_footer,2,2000,0,2,0,0,1998,0,0,0,100.0000,34.2380,100.0000,0.0000,0.0000,0.1917,0,0.0000,0
hardened,0,16,payload,1,2000,0,0,2000,0,0,0,0,0,100.0000,99.8083,100.0000,0.0000,0.0000,0.1917,0,0.0000,0
hardened,0,16,payload,2,2000,0,0,1995,0,5,0,0,0,100.0000,99.8078,100.0000,0.0000,0.0000,0.1917,0,0.0000,0
hardened,0,16,canary,1,2000,0,0,2000,0,0,0,0,0,100.0000,99.8083,100.0000,0.0000,0.0000,0.1917,0,0.0000,0
hardened,0,16,canary,2,2000,0,0,1957,0,43,0,0,0,100.0000,99.8041,100.0000,0.0000,0.0000,0.1917,0,0.0000,0
hardened,0,16,any,1,2000,0,2,24,0,1974,0,0,0,100.0000,87.1271,100.0000,0.0000,0.0000,0.1917,5,4.8000,17
hardened,0,16,any,2,2000,0,1,34,0,1965,0,0,0,100.0000,90.1099,100.0000,0.0000,0.0000,0.1917,3,13.6667,37
